                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94308,                0.78483,                    1.3,                0.96238,                0.92297,                0.97803,                0.74891,                 0.8759,                0.70103,                 1.3481,              0.0013268,              0.0013268,              0.0013268
                     36,                0.93751,                0.77626,                 1.2712,                0.92063,                0.91753,                0.97152,                0.76351,                0.83091,                0.69218,                 1.2901,               0.001307,               0.001307,               0.001307
                     37,                0.94877,                0.81792,                   1.28,                0.96824,                0.91753,                0.97778,                0.76482,                0.82638,                0.67572,                 1.2967,              0.0012872,              0.0012872,              0.0012872
                     38,                0.88361,                0.77784,                 1.2607,                0.95984,                0.93814,                0.98281,                0.78241,                0.79744,                0.60572,                 1.2779,              0.0012674,              0.0012674,              0.0012674
                     39,                0.85927,                0.73288,                  1.231,                0.96878,                0.92268,                0.98146,                0.77785,                0.78364,                0.59367,                 1.2544,              0.0012476,              0.0012476,              0.0012476
                     40,                0.88058,                0.77585,                 1.2458,                0.97832,                0.93041,                0.98375,                0.80452,                0.72062,                0.56651,                  1.212,              0.0012278,              0.0012278,              0.0012278
                     41,                0.86394,                0.73276,                 1.2522,                0.98325,                0.93299,                 0.9889,                0.82554,                0.69446,                0.53156,                 1.1926,               0.001208,               0.001208,               0.001208
                     42,                0.82391,                 0.6854,                 1.2059,                0.95973,                0.98271,                0.99209,                0.82015,                  0.707,                0.52021,                 1.1996,              0.0011882,              0.0011882,              0.0011882
                     43,                0.82797,                0.69248,                 1.2106,                0.96901,                0.96709,                  0.989,                0.81168,                0.76121,                0.53353,                   1.25,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.8406,                0.74146,                 1.2247,                0.96841,                0.96392,                0.99062,                0.82056,                0.73162,                0.51357,                 1.2093,              0.0011486,              0.0011486,              0.0011486
                     45,                0.83239,                 0.7363,                 1.2381,                0.96735,                0.95876,                0.99002,                0.82332,                0.73927,                0.52739,                 1.2208,              0.0011288,              0.0011288,              0.0011288
                     46,                0.77547,                0.63009,                 1.1845,                0.96541,                0.95361,                0.98925,                0.82424,                0.69552,                0.50775,                 1.1836,               0.001109,               0.001109,               0.001109
                     47,                0.79665,                0.67241,                 1.1915,                 0.9836,                0.92748,                0.98419,                0.79522,                0.76118,                0.54797,                 1.2478,              0.0010892,              0.0010892,              0.0010892
                     48,                0.81993,                0.68718,                 1.2158,                0.96888,                0.96295,                0.98681,                0.81272,                0.68908,                0.49571,                 1.1866,              0.0010694,              0.0010694,              0.0010694
                     49,                0.86388,                0.70235,                 1.2274,                0.95902,                0.95876,                0.98842,                0.83078,                0.67428,                0.48579,                 1.1708,              0.0010496,              0.0010496,              0.0010496
                     50,                0.84662,                0.72236,                 1.2343,                0.97334,                0.94096,                0.98722,                0.84039,                0.64581,                0.48111,                 1.1391,              0.0010298,              0.0010298,              0.0010298
                     51,                0.80543,                0.68683,                 1.2115,                 0.9851,                0.93814,                0.98988,                0.85028,                0.62864,                0.46517,                 1.1279,                0.00101,                0.00101,                0.00101
                     52,                0.79053,                0.63832,                  1.186,                0.98164,                0.96392,                0.99185,                0.83262,                0.66624,                0.46173,                 1.1553,              0.0009902,              0.0009902,              0.0009902
                     53,                0.76889,                0.63113,                 1.1713,                0.99615,                0.94845,                 0.9928,                0.84904,                0.62874,                0.43582,                 1.1138,              0.0009704,              0.0009704,              0.0009704
                     54,                0.78894,                0.64201,                 1.1916,                 0.9715,                0.97938,                0.99226,                0.84675,                0.63015,                0.43589,                  1.109,              0.0009506,              0.0009506,              0.0009506
                     55,                0.78891,                0.65965,                 1.2038,                0.97708,                0.97423,                0.99308,                0.85071,                0.59776,                0.41445,                 1.0836,              0.0009308,              0.0009308,              0.0009308
                     56,                0.78587,                0.61113,                  1.212,                0.99471,                0.96895,                0.99358,                0.86191,                0.59354,                0.43167,                 1.0858,               0.000911,               0.000911,               0.000911
                     57,                0.79529,                0.68334,                  1.172,                0.98947,                0.96889,                0.99361,                0.86508,                0.57334,                0.43271,                 1.0694,              0.0008912,              0.0008912,              0.0008912
                     58,                0.80931,                 0.6663,                  1.222,                0.98958,                 0.9786,                 0.9943,                0.85823,                0.59192,                0.42907,                 1.0807,              0.0008714,              0.0008714,              0.0008714
                     59,                0.76789,                0.63176,                 1.1791,                0.98215,                0.98454,                0.99397,                 0.8566,                0.59831,                0.42456,                 1.0888,              0.0008516,              0.0008516,              0.0008516
                     60,                0.76957,                0.60493,                 1.1793,                 0.9864,                0.97938,                 0.9942,                0.85332,                0.60009,                0.42751,                 1.0859,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.7244,                0.59815,                  1.163,                 0.9896,                0.98068,                0.99439,                0.85244,                 0.5969,                 0.4264,                 1.0788,               0.000812,               0.000812,               0.000812
                     62,                0.71975,                0.59765,                 1.1745,                0.97953,                0.98653,                0.99434,                0.86147,                0.57912,                0.40198,                 1.0658,              0.0007922,              0.0007922,              0.0007922
                     63,                0.70736,                0.56173,                 1.1626,                0.98946,                 0.9674,                0.99223,                0.85444,                0.62492,                0.42731,                  1.098,              0.0007724,              0.0007724,              0.0007724
                     64,                0.76255,                 0.5995,                 1.1859,                 0.9845,                0.98192,                0.99414,                0.87362,                0.56491,                0.37906,                 1.0536,              0.0007526,              0.0007526,              0.0007526
                     65,                0.70551,                0.52619,                 1.1349,                0.99485,                0.96907,                 0.9941,                0.86579,                0.56712,                0.39117,                 1.0581,              0.0007328,              0.0007328,              0.0007328
                     66,                0.72551,                 0.5653,                 1.1366,                0.98864,                0.97423,                0.99372,                0.85325,                0.60038,                0.40669,                 1.0743,               0.000713,               0.000713,               0.000713
                     67,                0.69393,                0.57505,                 1.1362,                0.99447,                0.98969,                 0.9949,                0.86926,                 0.5623,                0.36033,                  1.047,              0.0006932,              0.0006932,              0.0006932
                     68,                0.70542,                0.56827,                 1.1398,                0.98882,                      1,                0.99485,                0.87358,                0.55554,                0.35301,                 1.0435,              0.0006734,              0.0006734,              0.0006734
                     69,                0.68135,                0.54345,                 1.1396,                0.99479,                0.98437,                0.99475,                0.87794,                0.54524,                 0.3445,                 1.0318,              0.0006536,              0.0006536,              0.0006536
                     70,                0.72702,                0.55324,                 1.1509,                  0.995,                0.98969,                0.99485,                0.86507,                0.55989,                 0.3525,                 1.0473,              0.0006338,              0.0006338,              0.0006338
                     71,                0.71546,                0.55286,                 1.1267,                0.99483,                 0.9926,                0.99495,                0.87672,                0.53714,                0.35837,                 1.0307,               0.000614,               0.000614,               0.000614
                     72,                0.69644,                0.55666,                 1.1158,                0.99712,                0.98969,                 0.9948,                0.88419,                0.52501,                0.34472,                 1.0199,              0.0005942,              0.0005942,              0.0005942
                     73,                0.68295,                0.54181,                 1.1312,                0.99775,                0.98969,                 0.9949,                0.88623,                0.53803,                0.34101,                 1.0218,              0.0005744,              0.0005744,              0.0005744
                     74,                0.67056,                0.53538,                 1.0985,                 0.9894,                0.99485,                 0.9949,                0.88649,                0.53067,                0.34036,                  1.016,              0.0005546,              0.0005546,              0.0005546
                     75,                0.65792,                0.51282,                 1.1117,                0.99466,                0.98454,                0.99485,                0.89311,                0.51199,                0.33144,                 1.0015,              0.0005348,              0.0005348,              0.0005348
                     76,                0.65328,                0.53005,                 1.1265,                0.98468,                0.99392,                0.99474,                 0.8867,                 0.5164,                0.32957,                 1.0055,               0.000515,               0.000515,               0.000515
                     77,                0.66469,                0.52486,                 1.1296,                0.98979,                0.99955,                 0.9949,                0.87221,                0.54467,                0.34796,                 1.0279,              0.0004952,              0.0004952,              0.0004952
                     78,                0.69307,                0.50367,                 1.1296,                0.99935,                0.99485,                  0.995,                0.88269,                0.51913,                0.34133,                 1.0118,              0.0004754,              0.0004754,              0.0004754
                     79,                0.63938,                0.49279,                 1.1066,                0.99398,                      1,                0.99495,                0.89523,                0.48831,                0.33062,                0.98919,              0.0004556,              0.0004556,              0.0004556
                     80,                0.61542,                0.50066,                 1.0782,                0.98427,                      1,                0.99464,                0.89393,                0.48394,                0.32799,                0.98405,              0.0004358,              0.0004358,              0.0004358
                     81,                0.62149,                0.46263,                 1.0884,                0.99989,                      1,                  0.995,                 0.8945,                0.47807,                 0.3188,                0.97866,               0.000416,               0.000416,               0.000416
                     82,                0.65241,                 0.4936,                 1.1058,                      1,                0.99957,                  0.995,                0.89899,                0.45648,                0.30519,                0.96763,              0.0003962,              0.0003962,              0.0003962
                     83,                0.62908,                 0.5058,                 1.1032,                0.99907,                      1,                  0.995,                0.89691,                 0.4752,                0.30845,                0.97896,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.5854,                0.47116,                 1.0769,                      1,                0.99962,                  0.995,                 0.9068,                0.45963,                0.29989,                0.96646,              0.0003566,              0.0003566,              0.0003566
